"We praise thee, O God; we acknowledge thee to be the Lord. *","congregation","hangingIndent"
"All the earth doth worship thee, the Father everlasting.","congregation","indent"
"To thee all angels cry aloud, the heavens and all the powers therein. *","congregation","hangingIndent"
"To thee cherubim and seraphim continually do cry:","congregation","indent"
"Holy, Holy, Holy, Lord God of Sabaoth; *","congregation","hangingIndent"
"Heaven and earth are full of the majesty of thy glory.","congregation","indent"
"The glorious company of the apostles praise thee. *","congregation","hangingIndent"
"The goodly fellowship of the prophets praise thee.","congregation","indent"
"The noble army of martyrs praise thee. *","congregation","hangingIndent"
"The holy Church throughout all the world doth acknowledge thee","congregation","indent"
"the Father, of an infinite majesty, thine adorable, true, and only Son, *","congregation","hangingIdent"
"also the Holy Ghost, the Comforter.","congregation","indent"
"Thou art the King of glory, O Christ *","congregation","hangingIndent"
"Thou art the everlasting Son of the Father.","congregation","indent"
"When thou tookest upon thee to deliver man, *","congregation","hangingIndent"
"thou didst humble thyself to be born of a Virgin.","congregation","indent"
"When thou hadst overcome the sharpness of death, *","congregation","hangingIndent"
"thou didst open the kingdom of heaven to all believers.","congregation","indent"
"Thou sittest at the right hand of God, in the glory of the Father. *","congregation","hangingIndent"
"We believe that thou shalt come to be our judge.","congregation","indent"
"We therefore pray thee, help thy servants, *","congregation","hangingIndent"
"whom thou hast redeemed with thy precious blood.","congregation","indent"
"Make them to be numbered with thy saints, *","congregation","hangingIndent"
"in glory everlasting.","congregation","indent"
"","congregation","hangingIndent"
"The following verses may be omitted","rubric","hangingIndent"
"","congregation","hangingIndent"
"O Lord, save thy people and bless thine heritage; *","congregation","hangingIndent"
"Govern them and lift them up for ever.","congregation","indent"
"Day by day we magnify thee; *","congregation","hangingIndent"
"and we worship thy Name ever, world without end.","congregation","indent"
"Vouchsafe, O Lord, to keep us this day without sin; *","congregation","hangingIndent"
"O Lord, have mercy upon us, have mercy upon us.","congregation","indent"
"O Lord, let thy mercy be upon us; *","congregation","hangingIndent"
"As our trust is in thee.","congregation","indent"
"O Lord, in thee have I trusted; *","congregation","hangingIndent"
"Let me never be confounded.","congregation","indent"
