"PASCHA NOSTRUM"                                                 ,"heading"
"Christ Our Passover"                                            ,"subheading"
"Officiant and People, all standing"                             ,"rubric"
"Alleluia. Christ our Passover is sacrificed for us; *", "congregation", "hangingIndent"
"therefore let us keep the feast;", "congregation", "indent"
"Not with the old leaven,", "congregation", "hangingIndent"
"neither with the leaven of malice and wickedness: *", "congregation", "hangingIndent"
"but with the unleavened bread of sincerity and truth. Alleluia.", "congregation", "indent"
"Christ being raised from the dead dieth no more: *", "congregation", "hangingIndent"
"death hath no more dominion over him.", "congregation", "indent"
"For in that he died, he died unto sin once: *", "congregation", "hangingIndent"
"but in that he liveth, he liveth unto God.", "congregation", "indent"
"Likewise reckon ye also yourselves to be dead indeed unto sin: *", "congregation", "hangingIndent"
"but alive unto God through Jesus Christ our Lord. Alleluia.", "congregation", "indent"
"Christ is risen from the dead, *", "congregation", "hangingIndent"
"and become the first fruits of them that slept.", "congregation", "indent"
"For since by a man came death, *", "congregation", "hangingIndent"
"by a man came also the resurrection of the dead.", "congregation", "indent"
"For as in Adam all die, *", "congregation", "hangingIndent"
"even so in Christ shall all be made alive. Alleluia.", "congregation", "indent"
"1 Corinthians 5:7-8"                                            ,"citation"
"Romans 6:9-11"                                                  ,"citation"
"1 Corinthians 15:20-22"                                         ,"citation"
