"The Suffrages", "heading"
"That this evening may be holy, good, and peaceful,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
"That thy holy angels may lead us in paths of peace and goodwill,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
"That we may be pardoned and forgiven for our sins and offenses,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
"That there may be peace in thy Church and in the whole world,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
"That we may depart this life in thy faith and fear, and not be condemned before the great judgment seat of Christ,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
"That we may be bound together by thy Holy Spirit in the communion of [ ___________ ] and all thy saints, entrusting one another and all our life to Christ,", "leader_dialogue",
"We entreat thee, O Lord.", "congregation_dialogue",
