"Venite"                                                                     ,"heading"
"O Come"                                                                     ,"subheading"  ,
"Officiant and People, all standing"                                         ,"rubric"      ,
"", "spacer"
"O come, let us sing unto the Lord; *"                                       ,"congregation","hangingIndent"
"let us heartily rejoice in the strength of our salvation."                  ,"congregation","indent"
"Let us come before his presence with thanksgiving *"                        ,"congregation","hangingIndent"
"and show ourselves glad in him with psalms."                                ,"congregation","indent"
"For the Lord is a great God *"                                              ,"congregation","hangingIndent"
"and a great King above all gods."                                           ,"congregation","indent"
"In his hand are all the depths of the earth, *"                             ,"congregation","hangingIndent"
"and the heights of the hills are his also."                                 ,"congregation",true
"The sea is his, for he made it, *"                                          ,"congregation","hangingIndent"
"and his hands prepared the dry land."                                       ,"congregation","indent"
"O come, let us worship and fall down, *"                                    ,"congregation","hangingIndent"
"and kneel before the Lord our Maker."                                       ,"congregation","indent"
"For he is our God, *"                                                       ,"congregation","hangingIndent"
"and we are the people of his pasture,"                                      ,"congregation","hangingIndent"
"and the sheep of his hand."                                                 ,"congregation","indent"
"The following verses may be omitted."                                       ,"rubric"      ,
"Today, if you will hear his voice, harden not your hearts *"                ,"congregation","hangingIndent"
"as in the provocation, and as in the day of temptation in the wilderness,"  ,"congregation","indent"
"When your fathers tested me, *"                                             ,"congregation","hangingIndent"
"and put me to the proof, though they had seen my works."                    ,"congregation","indent"
"Forty years long was I grieved with this generation and said, *"            ,"congregation","hangingIndent"
"“It is a people that err in their hearts, for they have not known my ways,”","congregation","indent"
"Of whom I swore in my wrath *"                                              ,"congregation","hangingIndent"
"that they should not enter into my rest."                                   ,"congregation","indent"
"Psalm 95:1-7, 8-11"                                                         ,"citation"    ,
